intent_name,slot_name,sample_utterance
AskQuestionIntent,question,"pregunta {question}"
AskQuestionIntent,question,"pregúntame {question}"
AskQuestionIntent,question,"haz la pregunta {question}"
AskQuestionIntent,question,"quiero preguntar {question}"
AskQuestionIntent,question,"tengo una pregunta {question}"
AskQuestionIntent,question,"tengo esta pregunta {question}"
AskQuestionIntent,question,"una pregunta {question}"
AskQuestionIntent,question,"responde {question}"
AskQuestionIntent,question,"responde la pregunta {question}"
AskQuestionIntent,question,"responde esta pregunta {question}"
AskQuestionIntent,question,"dame una respuesta sobre {question}"
AskQuestionIntent,question,"dame la respuesta a {question}"
AskQuestionIntent,question,"dime {question}"
AskQuestionIntent,question,"dime sobre {question}"
AskQuestionIntent,question,"dime qué es {question}"
AskQuestionIntent,question,"dime cómo funciona {question}"
AskQuestionIntent,question,"dime cómo se hace {question}"
AskQuestionIntent,question,"dime por qué {question}"
AskQuestionIntent,question,"dime cuándo {question}"
AskQuestionIntent,question,"dime dónde {question}"
AskQuestionIntent,question,"dime quién es {question}"
AskQuestionIntent,question,"dime cuál es {question}"
AskQuestionIntent,question,"dime si {question}"
AskQuestionIntent,question,"cuéntame {question}"
AskQuestionIntent,question,"cuéntame sobre {question}"
AskQuestionIntent,question,"cuéntame acerca de {question}"
AskQuestionIntent,question,"cuéntame más de {question}"
AskQuestionIntent,question,"háblame de {question}"
AskQuestionIntent,question,"háblame sobre {question}"
AskQuestionIntent,question,"platícame de {question}"
AskQuestionIntent,question,"platícame sobre {question}"
AskQuestionIntent,question,"explícame {question}"
AskQuestionIntent,question,"explícame sobre {question}"
AskQuestionIntent,question,"explícame qué es {question}"
AskQuestionIntent,question,"explícame cómo funciona {question}"
AskQuestionIntent,question,"explícame cómo se hace {question}"
AskQuestionIntent,question,"explícame por qué {question}"
AskQuestionIntent,question,"ayúdame con {question}"
AskQuestionIntent,question,"ayúdame a entender {question}"
AskQuestionIntent,question,"ayúdame a comprender {question}"
AskQuestionIntent,question,"ayúdame a resolver {question}"
AskQuestionIntent,question,"necesito ayuda con {question}"
AskQuestionIntent,question,"quiero saber {question}"
AskQuestionIntent,question,"quisiera saber {question}"
AskQuestionIntent,question,"me gustaría saber {question}"
AskQuestionIntent,question,"necesito saber {question}"
AskQuestionIntent,question,"quiero conocer {question}"
AskQuestionIntent,question,"quisiera conocer {question}"
AskQuestionIntent,question,"quiero aprender sobre {question}"
AskQuestionIntent,question,"quiero entender {question}"
AskQuestionIntent,question,"quiero información sobre {question}"
AskQuestionIntent,question,"necesito información sobre {question}"
AskQuestionIntent,question,"busco información sobre {question}"
AskQuestionIntent,question,"puedes decirme {question}"
AskQuestionIntent,question,"puedes explicarme {question}"
AskQuestionIntent,question,"puedes contarme {question}"
AskQuestionIntent,question,"puedes ayudarme con {question}"
AskQuestionIntent,question,"puedes responder {question}"
AskQuestionIntent,question,"me puedes decir {question}"
AskQuestionIntent,question,"me puedes explicar {question}"
AskQuestionIntent,question,"me puedes contar {question}"
AskQuestionIntent,question,"me puedes ayudar con {question}"
AskQuestionIntent,question,"me puedes responder {question}"
AskQuestionIntent,question,"podrías decirme {question}"
AskQuestionIntent,question,"podrías explicarme {question}"
AskQuestionIntent,question,"podrías contarme {question}"
AskQuestionIntent,question,"podrías ayudarme con {question}"
AskQuestionIntent,question,"podrías responder {question}"
AskQuestionIntent,question,"sabes {question}"
AskQuestionIntent,question,"sabes sobre {question}"
AskQuestionIntent,question,"sabes qué es {question}"
AskQuestionIntent,question,"sabes cómo funciona {question}"
AskQuestionIntent,question,"sabes cómo se hace {question}"
AskQuestionIntent,question,"sabes por qué {question}"
AskQuestionIntent,question,"sabes cuándo {question}"
AskQuestionIntent,question,"sabes dónde {question}"
AskQuestionIntent,question,"sabes quién es {question}"
AskQuestionIntent,question,"sabes cuál es {question}"
AskQuestionIntent,question,"qué sabes de {question}"
AskQuestionIntent,question,"qué me puedes decir de {question}"
AskQuestionIntent,question,"qué me cuentas de {question}"
AskQuestionIntent,question,"qué información tienes de {question}"
AskQuestionIntent,question,"qué información hay sobre {question}"
AskQuestionIntent,question,"qué opinas de {question}"
AskQuestionIntent,question,"cuál es la respuesta a {question}"
AskQuestionIntent,question,"cuál es la explicación de {question}"
AskQuestionIntent,question,"cuál es la diferencia entre {question}"
AskQuestionIntent,question,"cómo funciona {question}"
AskQuestionIntent,question,"cómo se hace {question}"
AskQuestionIntent,question,"cómo puedo hacer {question}"
AskQuestionIntent,question,"cómo puedo entender {question}"
AskQuestionIntent,question,"cómo puedo resolver {question}"
AskQuestionIntent,question,"por qué {question}"
AskQuestionIntent,question,"para qué sirve {question}"
AskQuestionIntent,question,"cuándo sucede {question}"
AskQuestionIntent,question,"dónde está {question}"
AskQuestionIntent,question,"quién es {question}"
AskQuestionIntent,question,"cuál es {question}"
AskQuestionIntent,question,"es verdad que {question}"
